exchange	stock_symbol	date	dividends
NYSE	AEP	5/4/1990	0.6
NYSE	AEP	2/5/1990	0.6
NYSE	AEP	8/4/1989	0.6
NYSE	AEP	5/4/1989	0.58
NYSE	AEP	2/6/1989	0.58
NYSE	AEP	11/4/1988	0.592
NYSE	AEP	8/4/1988	0.592
NYSE	AEP	5/4/1988	0.565
NYSE	AEP	2/4/1988	0.565
NYSE	AEP	11/4/1987	0.565
NYSE	AEP	8/4/1987	0.645
NYSE	AEP	5/5/1987	0.565
NYSE	AEP	2/4/1987	0.565
NYSE	AEP	11/4/1986	0.565
NYSE	AEP	8/5/1986	0.565
NYSE	AEP	5/5/1986	0.565
NYSE	AEP	2/4/1986	0.565
NYSE	AEP	11/5/1985	0.565
NYSE	AEP	8/5/1985	0.565
NYSE	AEP	5/6/1985	0.565
NYSE	AEP	2/5/1985	0.565
NYSE	AEP	11/2/1984	0.565
NYSE	AEP	8/6/1984	0.565
NYSE	AEP	5/4/1984	0.565
NYSE	AEP	2/6/1984	0.565
NYSE	AEP	11/3/1983	0.565
NYSE	AEP	8/4/1983	0.565
NYSE	AEP	5/4/1983	0.565
NYSE	AEP	2/4/1983	0.565
NYSE	AEP	11/4/1982	0.565
NYSE	AEP	8/4/1982	0.565
NYSE	AEP	5/4/1982	0.565
NYSE	AEP	2/4/1982	0.565
NYSE	AEP	11/4/1981	0.565
